year,BUYER_COUNTY,BUYER_STATE,opioid_converted_grams,FIPS,population
2006.0,ABBEVILLE,SC,3136.2153893625,45001,25440.0
2006.0,ACADIA,LA,22401.5531148,22001,59585.0
2006.0,ACCOMACK,VA,4073.851376,51001,38580.0
2006.0,ADA,ID,86952.63407245,16001,360869.0
2006.0,ADAIR,IA,1129.8284250000002,19001,7677.0
2006.0,ADAIR,KY,3729.89505745,21001,17821.0
2006.0,ADAIR,MO,6124.9491805,29001,24675.0
2006.0,ADAIR,OK,4138.670690174999,40001,21858.0
2006.0,ADAMS,CO,68317.53837325,08001,409532.0
2006.0,ADAMS,IA,664.8217875,19003,4141.0
2006.0,ADAMS,ID,8.778300000000002,16003,3445.0
2006.0,ADAMS,IL,11998.617979999999,17001,66922.0
2006.0,ADAMS,IN,3290.6477775000003,18001,33788.0
2006.0,ADAMS,MS,11331.8599175375,28001,32110.0
2006.0,ADAMS,ND,834.750375,38001,2305.0
2006.0,ADAMS,NE,3921.1637425,31001,32858.0
2006.0,ADAMS,OH,12563.788718,39001,28210.0
2006.0,ADAMS,PA,22081.2847258625,42001,100465.0
2006.0,ADAMS,WA,2424.598848,53001,16615.0
2006.0,ADAMS,WI,3576.2314035,55001,20544.0
2006.0,ADDISON,VT,7938.453741225,50001,36592.0
2006.0,ADJUNTAS,PR,757.1430750000001,72001,
2006.0,AGUADA,PR,364.814925,72003,
2006.0,AGUADILLA,PR,1843.5247625000002,72005,
2006.0,AGUASBUENAS,PR,219.83595000000003,72007,
2006.0,AIBONITO,PR,1395.628725,72009,
2006.0,AIKEN,SC,28106.75957935,45003,150834.0
2006.0,AITKIN,MN,3425.3922614999997,27001,15958.0
2006.0,ALACHUA,FL,82596.618687725,12001,237199.0
2006.0,ALAMANCE,NC,36524.6196248625,37001,141472.0
2006.0,ALAMEDA,CA,376794.9713872,06001,1438193.0
2006.0,ALAMOSA,CO,8719.6030342125,08003,15288.0
2006.0,ALBANY,NY,37447.6889358625,36001,299033.0
2006.0,ALBANY,WY,5186.430631499999,56001,32757.0
2006.0,ALBEMARLE,VA,15666.940975500002,51003,92007.0
2006.0,ALCONA,MI,1409.5992375,26001,11494.0
2006.0,ALCORN,MS,17529.2911298125,28003,35433.0
2006.0,ALEUTIANSEAST,AK,0.9081,02013,2619.0
2006.0,ALEUTIANSWEST,AK,87.308925,02016,5019.0
2006.0,ALEXANDER,IL,841.3771875,17003,8410.0
2006.0,ALEXANDER,NC,11079.462527,37003,36031.0
2006.0,ALEXANDRIACITY,VA,12284.409201787501,51510,138237.0
2006.0,ALFALFA,OK,336.580191,40003,5584.0
2006.0,ALGER,MI,2201.780175,26003,9576.0
2006.0,ALLAMAKEE,IA,911.962227,19005,14442.0
2006.0,ALLEGAN,MI,16963.7496788625,26005,112414.0
2006.0,ALLEGANY,MD,32397.4041360375,24001,72441.0
2006.0,ALLEGANY,NY,12597.838994,36003,49423.0
2006.0,ALLEGHANY,NC,2412.1941875,37005,10860.0
2006.0,ALLEGHANY,VA,2372.9406360000003,51005,16479.0
2006.0,ALLEGHENY,PA,406285.8355159625,42003,1223239.0
2006.0,ALLEN,IN,48037.8499165875,18003,345976.0
2006.0,ALLEN,KS,3589.14015,20001,13513.0
2006.0,ALLEN,KY,5728.3936318125,21003,18687.0
2006.0,ALLEN,LA,7177.8844870375,22003,25562.0
2006.0,ALLEN,OH,18586.7414068125,39003,105126.0
2006.0,ALLENDALE,SC,1251.1885455000001,45005,10544.0
2006.0,ALPENA,MI,8739.1568625,26007,29807.0
2006.0,ALPINE,CA,0.45405,06003,1158.0
2006.0,AMADOR,CA,18925.0421354,06005,38072.0
2006.0,AMELIA,VA,1132.7297625,51007,12434.0
2006.0,AMHERST,VA,3134.7236890875,51009,31991.0
2006.0,AMITE,MS,1807.181932725,28005,13512.0
2006.0,ANASCO,PR,561.76845,72011,
2006.0,ANCHORAGE,AK,88940.8434803375,02020,279935.0
2006.0,ANDERSON,KS,1358.4160485000002,20003,7861.0
2006.0,ANDERSON,KY,5399.4140875,21005,20800.0
2006.0,ANDERSON,SC,58870.655566225,45007,177244.0
2006.0,ANDERSON,TN,60647.8637075375,47001,72810.0
2006.0,ANDERSON,TX,14731.2907535375,48001,56381.0
2006.0,ANDREW,MO,2420.334238725,29003,16850.0
2006.0,ANDREWS,TX,1598.28145,48003,12868.0
2006.0,ANDROSCOGGIN,ME,33633.3142335375,23001,106971.0
2006.0,ANGELINA,TX,19714.6594468125,48005,82097.0
2006.0,ANNEARUNDEL,MD,168318.12466685002,24003,509947.0
2006.0,ANOKA,MN,50080.5771298625,27003,324414.0
2006.0,ANSON,NC,3869.3868195,37007,25314.0
2006.0,ANTELOPE,NE,203.352375,31003,6764.0
2006.0,ANTRIM,MI,7661.39439,26009,24206.0
2006.0,APACHE,AZ,4956.9686893125,04001,69066.0
2006.0,APPANOOSE,IA,3061.03866045,19007,13158.0
2006.0,APPLING,GA,3996.8437790000003,13001,17682.0
2006.0,APPOMATTOX,VA,2974.090259,51011,14005.0
2006.0,ARANSAS,TX,4512.8729722625,48007,24388.0
2006.0,ARAPAHOE,CO,98137.630030225,08005,532347.0
2006.0,ARCHULETA,CO,1220.1436255,08007,12096.0
2006.0,ARECIBO,PR,2264.83635,72013,
2006.0,ARENAC,MI,2970.966183,26011,16783.0
2006.0,ARKANSAS,AR,4830.7446698625,05001,19655.0
2006.0,ARLINGTON,VA,12511.2161895375,51013,200673.0
2006.0,ARMSTRONG,PA,19099.781121,42005,69106.0
2006.0,ARMSTRONG,TX,57.2103,48011,2093.0
2006.0,AROOSTOOK,ME,22244.3787495,23003,72178.0
2006.0,ARROYO,PR,263.157,72015,
2006.0,ASCENSION,LA,35438.97074385,22005,95986.0
2006.0,ASHE,NC,7183.591413,37009,25249.0
2006.0,ASHLAND,OH,5494.607232,39005,54317.0
2006.0,ASHLAND,WI,5728.136175000001,55003,16447.0
2006.0,ASHLEY,AR,4179.869040225,05003,22515.0
2006.0,ASHTABULA,OH,27441.5333760375,39007,101686.0
2006.0,ASOTIN,WA,8202.401307,53003,21108.0
2006.0,ASSUMPTION,LA,2061.1790965,22007,23073.0
2006.0,ATASCOSA,TX,6657.7614725,48013,43009.0
2006.0,ATCHISON,KS,3746.879443,20005,16548.0
2006.0,ATCHISON,MO,989.787382725,29005,6061.0
2006.0,ATHENS,OH,25211.834525950002,39009,63136.0
2006.0,ATKINSON,GA,1375.483686,13003,8049.0
2006.0,ATLANTIC,NJ,115258.3818608,34001,269495.0
2006.0,ATOKA,OK,3283.3372665,40005,14308.0
2006.0,ATTALA,MS,4141.7795160000005,28007,19466.0
