,FIPS,year,CountyName,StateName,opioid_converted_grams,population,County,Deaths
0,45001,2006,abbeville,SC,3136.2153893625,25440.0,,
1,,2006,,,22401.5531148,,,
2,51001,2006,accomack,VA,4073.851376,38580.0,,
3,16001,2006,ada,ID,86952.63407245,360869.0,"Ada County, ID",32.0
4,19001,2006,adair,IA,1129.8284250000002,7677.0,,
5,21001,2006,adair,KY,3729.89505745,17821.0,,
6,29001,2006,adair,MO,6124.9491805,24675.0,,
7,40001,2006,adair,OK,4138.670690175,21858.0,,
8,08001,2006,adams,CO,68317.53837325,409532.0,"Adams County, CO",62.0
9,19003,2006,adams,IA,664.8217875,4141.0,,
10,16003,2006,adams,ID,8.778300000000002,3445.0,,
11,17001,2006,adams,IL,11998.617979999999,66922.0,,
12,18001,2006,adams,IN,3290.6477775,33788.0,,
13,28001,2006,adams,MS,11331.8599175375,32110.0,,
14,38001,2006,adams,ND,834.750375,2305.0,,
15,31001,2006,adams,NE,3921.1637425,32858.0,,
16,39001,2006,adams,OH,12563.788718,28210.0,,
17,42001,2006,adams,PA,22081.2847258625,100465.0,,
18,53001,2006,adams,WA,2424.598848,16615.0,,
19,55001,2006,adams,WI,3576.2314035,20544.0,,
20,50001,2006,addison,VT,7938.453741225,36592.0,,
21,,2006,,,757.1430750000001,,,
22,,2006,,,364.814925,,,
23,,2006,,,1843.5247625,,,
24,,2006,,,219.83595000000003,,,
25,,2006,,,1395.628725,,,
26,45003,2006,aiken,SC,28106.75957935,150834.0,"Aiken County, SC",25.0
27,27001,2006,aitkin,MN,3425.3922615,15958.0,,
28,12001,2006,alachua,FL,82596.618687725,237199.0,,
29,37001,2006,alamance,NC,36524.6196248625,141472.0,"Alamance County, NC",10.0
30,06001,2006,alameda,CA,376794.9713872,1438193.0,"Alameda County, CA",182.0
31,08003,2006,alamosa,CO,8719.6030342125,15288.0,,
32,36001,2006,albany,NY,37447.6889358625,299033.0,"Albany County, NY",11.0
33,56001,2006,albany,WY,5186.4306315,32757.0,,
34,51003,2006,albemarle,VA,15666.9409755,92007.0,,
35,26001,2006,alcona,MI,1409.5992375,11494.0,,
36,28003,2006,alcorn,MS,17529.2911298125,35433.0,,
37,,2006,,,0.9081,,,
38,,2006,,,87.308925,,,
39,17003,2006,alexander,IL,841.3771875,8410.0,,
40,37003,2006,alexander,NC,11079.462527,36031.0,,
41,51510,2006,alexandria city,VA,12284.409201787501,138237.0,,
42,40003,2006,alfalfa,OK,336.580191,5584.0,,
43,26003,2006,alger,MI,2201.780175,9576.0,,
44,19005,2006,allamakee,IA,911.962227,14442.0,,
45,26005,2006,allegan,MI,16963.7496788625,112414.0,,
46,24001,2006,allegany,MD,32397.4041360375,72441.0,"Allegany County, MD",12.0
47,36003,2006,allegany,NY,12597.838994,49423.0,,
48,37005,2006,alleghany,NC,2412.1941875,10860.0,,
49,51005,2006,alleghany,VA,2372.940636,16479.0,,
50,42003,2006,allegheny,PA,406285.8355159625,1223239.0,"Allegheny County, PA",150.0
51,18003,2006,allen,IN,48037.849916587504,345976.0,"Allen County, IN",19.0
52,20001,2006,allen,KS,3589.14015,13513.0,,
53,21003,2006,allen,KY,5728.3936318125,18687.0,,
54,,2006,,,7177.884487037501,,,
55,39003,2006,allen,OH,18586.7414068125,105126.0,,
56,45005,2006,allendale,SC,1251.1885455000001,10544.0,,
57,26007,2006,alpena,MI,8739.1568625,29807.0,,
58,06003,2006,alpine,CA,0.45405,1158.0,,
59,06005,2006,amador,CA,18925.0421354,38072.0,,
60,51007,2006,amelia,VA,1132.7297625,12434.0,,
61,51009,2006,amherst,VA,3134.7236890875,31991.0,,
62,28005,2006,amite,MS,1807.181932725,13512.0,,
63,,2006,,,561.76845,,,
64,,2006,,,88940.8434803375,,,
65,20003,2006,anderson,KS,1358.4160485,7861.0,,
66,21005,2006,anderson,KY,5399.4140875,20800.0,,
67,45007,2006,anderson,SC,58870.655566225,177244.0,"Anderson County, SC",18.0
68,47001,2006,anderson,TN,60647.8637075375,72810.0,"Anderson County, TN",13.0
69,48001,2006,anderson,TX,14731.2907535375,56381.0,"Anderson County, TX",10.0
70,29003,2006,andrew,MO,2420.334238725,16850.0,,
71,48003,2006,andrews,TX,1598.28145,12868.0,,
72,23001,2006,androscoggin,ME,33633.3142335375,106971.0,,
73,48005,2006,angelina,TX,19714.6594468125,82097.0,,
74,24003,2006,anne arundel,MD,168318.12466685,509947.0,"Anne Arundel County, MD",61.0
75,27003,2006,anoka,MN,50080.5771298625,324414.0,"Anoka County, MN",12.0
76,37007,2006,anson,NC,3869.3868195,25314.0,,
77,31003,2006,antelope,NE,203.352375,6764.0,,
78,26009,2006,antrim,MI,7661.39439,24206.0,,
79,04001,2006,apache,AZ,4956.9686893125,69066.0,,
80,19007,2006,appanoose,IA,3061.03866045,13158.0,,
81,13001,2006,appling,GA,3996.843779,17682.0,,
82,51011,2006,appomattox,VA,2974.090259,14005.0,,
83,48007,2006,aransas,TX,4512.8729722625,24388.0,"Aransas County, TX",10.0
84,08005,2006,arapahoe,CO,98137.630030225,532347.0,"Arapahoe County, CO",66.0
85,08007,2006,archuleta,CO,1220.1436255,12096.0,,
86,,2006,,,2264.83635,,,
87,26011,2006,arenac,MI,2970.966183,16783.0,,
88,05001,2006,arkansas,AR,4830.7446698625,19655.0,,
89,51013,2006,arlington,VA,12511.2161895375,200673.0,,
90,42005,2006,armstrong,PA,19099.781121,69106.0,"Armstrong County, PA",14.0
91,48011,2006,armstrong,TX,57.210300000000004,2093.0,,
92,23003,2006,aroostook,ME,22244.3787495,72178.0,,
93,,2006,,,263.15700000000004,,,
94,,2006,,,35438.97074385,,,
95,37009,2006,ashe,NC,7183.591413,25249.0,,
96,39005,2006,ashland,OH,5494.607232,54317.0,,
97,55003,2006,ashland,WI,5728.136175,16447.0,,
98,05003,2006,ashley,AR,4179.869040225,22515.0,,
99,39007,2006,ashtabula,OH,27441.5333760375,101686.0,,
100,53003,2006,asotin,WA,8202.401307,21108.0,,
101,,2006,,,2061.1790965,,,
102,48013,2006,atascosa,TX,6657.7614725,43009.0,,
103,20005,2006,atchison,KS,3746.8794430000003,16548.0,,
104,29005,2006,atchison,MO,989.787382725,6061.0,,
105,39009,2006,athens,OH,25211.834525950002,63136.0,,
106,13003,2006,atkinson,GA,1375.483686,8049.0,,
107,34001,2006,atlantic,NJ,115258.3818608,269495.0,"Atlantic County, NJ",35.0
108,40005,2006,atoka,OK,3283.3372665,14308.0,,
109,28007,2006,attala,MS,4141.779516,19466.0,,
110,29007,2006,audrain,MO,4006.0331545000004,25941.0,,
111,19009,2006,audubon,IA,409.70055,6179.0,,
112,39011,2006,auglaize,OH,5908.711449125,46512.0,,
113,51015,2006,augusta,VA,10855.2363615,70603.0,,
114,48015,2006,austin,TX,3229.9167625,26139.0,,
115,01001,2006,autauga,AL,17100.54222475,49105.0,,
116,37011,2006,avery,NC,7790.9282570000005,17994.0,,
117,,2006,,,11049.506649500001,,,
118,08009,2006,baca,CO,632.3328750000001,3912.0,,
119,13005,2006,bacon,GA,4586.778211,10345.0,,
120,48017,2006,bailey,TX,542.365185,6422.0,,
